85	The Poseidon Adventure	Fox	$502,902,000	$84,563,118	1972
86	The Lord of the Rings: The Fellowship of the Ring	NL	$501,961,400	$315,544,750	2001^
87	Twister	WB	$500,943,300	$241,721,524	1996
88	Men in Black	Sony	$500,288,700	$250,690,539	1997
89	The Bridge on the River Kwai	Col.	$498,304,000	$27,200,000	1957
90	Transformers: Revenge of the Fallen	P/DW	$493,732,500	$402,111,870	2009
91	It's a Mad, Mad, Mad, Mad World	MGM	$493,498,800	$46,332,858	1963
92	Swiss Family Robinson	Dis.	$492,881,300	$40,356,000	1960
93	One Flew Over the Cuckoo's Nest	UA	$491,757,900	$108,981,275	1975
94	M.A.S.H.	Fox	$491,747,400	$81,600,000	1970
95	Indiana Jones and the Temple of Doom	Par.	$490,360,600	$179,870,271	1984
96	Avengers: Age of Ultron	BV	$490,306,500	$459,005,868	2015
97	Star Wars: Episode II - Attack of the Clones	Fox	$489,771,200	$310,676,740	2002^
98	Toy Story 3	BV	$488,589,200	$415,004,880	2010
99	Mrs. Doubtfire	Fox	$482,588,900	$219,195,243	1993
100	Aladdin	BV	$480,371,900	$217,350,219	1992
101	Ghost	Par.	$471,421,400	$217,631,306	1990
102	The Hunger Games: Catching Fire	LGF	$468,210,100	$424,668,047	2013
103	Duel in the Sun	Selz.	$467,346,900	$20,408,163	1946
104	The Hunger Games	LGF	$465,907,500	$408,010,692	2012
105	Pirates of the Caribbean: The Curse of the Black Pearl	BV	$463,943,900	$305,413,918	2003
106	House of Wax	WB	$462,872,300	$23,750,000	1953
107	Rear Window	Par.	$461,249,400	$36,764,313	1954^
108	The Lost World: Jurassic Park	Uni.	$457,175,200	$229,086,679	1997
109	Indiana Jones and the Last Crusade	Par.	$452,655,100	$197,171,806	1989
110	Monsters, Inc.	BV	$452,074,600	$289,916,256	2001^
111	Frozen	BV	$449,215,700	$400,738,009	2013
112	Spider-Man 3	Sony	$448,054,900	$336,530,303	2007
113	Iron Man 3	BV	$447,459,600	$409,013,994	2013
114	Terminator 2: Judgment Day	TriS	$446,756,900	$205,881,154	1991^
115	Sergeant York	WB	$440,808,400	$16,361,885	1941
116	How the Grinch Stole Christmas	Uni.	$440,658,500	$260,044,825	2000
117	Top Gun	Par.	$439,957,300	$179,800,601	1986^
118	Harry Potter and the Deathly Hallows Part 2	WB	$439,587,500	$381,011,219	2011
119	Toy Story 2	BV	$438,182,500	$245,852,179	1999^
120	Shrek	DW	$433,182,200	$267,665,011	2001
121	Shrek the Third	P/DW	$429,667,800	$322,719,944	2007
122	Despicable Me 2	Uni.	$429,549,900	$368,061,265	2013
123	Captain America: Civil War	BV	$428,277,900	$408,084,349	2016
124	The Matrix Reloaded	WB	$427,734,700	$281,576,461	2003
125	Transformers	P/DW	$425,042,900	$319,246,193	2007
126	Crocodile Dundee	Par.	$423,214,500	$174,803,506	1986
127	Wonder Woman	WB	$422,418,200	$412,563,408	2017
128	The Four Horsemen of the Apocalypse	MPC	$420,612,200	$9,183,673	1921
129	Saving Private Ryan	DW	$419,043,200	$216,540,909	1998
130	Young Frankenstein	Fox	$418,129,000	$86,273,333	1974
131	Peter Pan	Dis.	$417,911,500	$87,404,651	1953^
132	Gremlins	WB	$416,616,600	$153,083,102	1984^
133	Beauty and the Beast	BV	$415,531,600	$218,967,620	1991^
134	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	BV	$413,814,100	$291,710,957	2005
135	Harry Potter and the Goblet of Fire	WB	$413,805,500	$290,013,036	2005
